Z19,Z19,Mean, Outer Edge Length, Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i re,fl' re,fk' re,fi' re,F'i li,fl' li,fk' li,fi' li
+87_2D.txt,87.0,1825.497046,9.325192162,0.000120549,2532849189.0,7.428564824,0.187533909,7.241030916,10021.78949,5.05997,10023.5152,10021.78949,10014.40469,5.19726,10014.39158,10014.40469
+88_2D.txt,88.0,1825.496074,9.349008986,0.000123192,2532849192.0,7.428395736,0.187434757,7.240960979,10018.38083,14.1419,10018.36736,10018.38083,10011.42883,11.78452,10014.1477,10011.42883
+89_2D.txt,89.0,1825.506192,9.413625334,0.00012426,2532849155.0,7.428215372,0.187420299,7.240795073,10006.23934,14.72065,10008.77505,10006.23934,10007.48612,18.16599,10008.19598,10007.48612
+90_2D.txt,90.0,1825.495096,9.171077007,0.000118284,2532849196.0,7.428579259,0.187413257,7.241166002,10030.90325,8.98028,10036.97064,10030.90325,10010.26499,10.32748,10011.04249,10010.26499
+91_2D.txt,91.0,1825.504478,9.37040652,0.000120697,2532849161.0,7.428543909,0.187412846,7.241131063,10012.31049,12.48028,10014.56483,10012.31049,10013.50535,16.68623,10013.80589,10013.50535
+92_2D.txt,92.0,1825.493306,9.117494422,0.000117179,2532849202.0,7.428251379,0.187489229,7.24076215,10025.54708,22.0606,10026.88247,10025.54708,10027.80148,25.48289,10028.10341,10027.80148
+93_2D.txt,93.0,1825.496705,9.290603648,0.000121201,2532849190.0,7.428520646,0.187534169,7.240986477,10010.99085,8.0054,10011.95449,10010.99085,10011.25944,10.25953,10011.98941,10011.25944
+94_2D.txt,94.0,1825.511823,9.29680018,0.000120201,2532849135.0,7.428548618,0.187520574,7.241028044,10009.68007,11.61287,10011.67191,10009.68007,10008.69368,15.05099,10009.31428,10008.69368
+95_2D.txt,95.0,1825.50384,9.199384651,0.000119939,2532849164.0,7.428616087,0.187431914,7.241184173,10014.60791,14.19541,10015.1162,10014.60791,10007.82009,16.86392,10008.22756,10007.82009
+96_2D.txt,96.0,1825.510534,9.291760234,0.000121019,2532849139.0,7.428612546,0.187541058,7.241071488,10013.04044,14.19613,10013.1801,10013.04044,10008.39864,15.16103,10008.62756,10008.39864
+97_2D.txt,97.0,1825.50356,9.208802954,0.000119311,2532849165.0,7.42853733,0.187532965,7.241004365,10015.50707,13.23884,10019.75437,10015.50707,10014.3366,15.84154,10014.31499,10014.3366
+98_2D.txt,98.0,1825.507235,9.264995967,0.000120557,2532849151.0,7.428363909,0.187419413,7.240944496,10006.03819,7.79926,10007.19486,10006.03819,10005.60291,9.50874,10005.88381,10005.60291
+99_2D.txt,99.0,1825.513832,9.341315819,0.000121379,2532849127.0,7.428560465,0.187472716,7.241087749,10001.59004,10.88115,10002.93905,10001.59004,9999.10646,8.71433,10000.94702,9999.10646
+100_2D.txt,100.0,1825.519521,9.377440835,0.000122491,2532849107.0,7.428447064,0.187451698,7.240995365,9998.91144,10.90643,10000.39636,9998.91144,9999.05912,12.71339,10007.05559,9999.05912
