Mean, Outer Edge Length, Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i re,fl' re,fk' re,fi' re,F'i li,fl' li,fk' li,fi' li
1825.49434797859,9.13976359373366,0.000118468698659104,2532849198.3988,7.42856066711338,0.187490546721694,7.24107012039168,10019.149434,10.642002,10021.99668,10019.149434,10021.024783,9.928373,10023.692754,10021.024783
1825.50400596187,9.16232723500414,0.000118978568236739,2532849163.18259,7.42852844049755,0.187727096171543,7.24080134432601,10019.869343,9.338322,10020.342772,10019.869343,10019.856535,14.486403,10020.643845,10019.856535
1825.49065331329,9.1164261258166,0.000119160190287487,2532849211.87427,7.42827615288944,0.187456260298235,7.2408198925912,10018.074966,8.022516,10018.287096,10018.074966,10017.905417,11.311281,10020.006307,10017.905417
1825.50659131333,9.30894859754493,0.000121305804517385,2532849153.75633,7.42831420854691,0.187534580477841,7.24077962806907,10011.062598,3.935081,10011.977334,10011.062598,10011.220711,4.030744,10012.462401,10011.220711
1825.50493100106,9.38693728040749,0.000122775273472704,2532849159.81432,7.42852762299104,0.187485135794814,7.24104248719623,10007.192777,10.73837,10008.428652,10007.192777,10009.948807,13.939254,10010.854981,10009.948807
1825.51453105309,9.34870268204513,0.000123400357220189,2532849124.80828,7.42850477261292,0.187547435879566,7.24095733673335,10007.52171,11.204815,10008.778225,10007.52171,10008.280902,12.966521,10008.912088,10008.280902
1825.51558148088,9.43306109090108,0.000124258378036219,2532849120.98169,7.42826690095886,0.187426524112784,7.24084037684608,10005.713136,20.31448,10006.610171,10005.713136,10008.166594,25.106231,10010.95364,10008.166594
1825.51127406057,9.47238232663212,0.000122448283159793,2532849136.68442,7.42862310227063,0.187513498410114,7.24110960386052,10012.313975,23.00982,10013.218233,10012.313975,10007.60685,21.407534,10008.43006,10007.60685
1825.50145639246,9.32878832997981,0.000121703605813757,2532849172.4906,7.42887490771859,0.187406357109357,7.24146855060924,10006.892542,9.499314,10008.245548,10006.892542,10003.585484,6.481506,10003.565633,10003.585484
1825.50689483068,9.46868632884422,0.000123188548895997,2532849152.65082,7.42855108878743,0.187460410399102,7.24109067838833,10018.361463,23.715869,10019.001162,10018.361463,10026.387469,20.22631,10027.900606,10026.387469
1825.51260438271,9.32077790046587,0.000123293914834415,2532849131.83148,7.42821708318994,0.187534580477841,7.2406825027121,10016.226295,18.669334,10016.205402,10016.226295,10011.318766,17.180422,10011.426261,10011.318766
1825.50759252429,9.54708390648521,0.000126068405661594,2532849150.11002,7.4283305441385,0.187543999029561,7.24078654510894,10009.397604,10.149422,10010.02251,10009.397604,10010.392506,14.08928,10011.537539,10010.392506
1825.50596770617,9.35551889889021,0.000120892540397407,2532849156.03534,7.42855838979784,0.187561903066694,7.24099648673115,10012.899007,15.413748,10014.342414,10012.899007,10008.128891,15.724708,10010.918934,10008.128891
1825.50126408496,9.34493789454635,0.000122104331143262,2532849173.18748,7.4282216338242,0.187430605230309,7.24079102859389,10011.339799,14.634549,10012.595406,10011.339799,10013.38882,18.463035,10013.771739,10013.38882
1825.49538585768,9.40569891166898,0.000122305405785811,2532849194.61428,7.42851676928268,0.187400550922349,7.24111621836033,10024.318327,16.327248,10025.959267,10024.318327,10021.978208,16.912094,10023.440184,10021.978208
1825.49684136568,9.22190041824349,0.000120478527789876,2532849189.30555,7.42852661646473,0.18751190755256,7.24101470891217,10023.839137,15.989361,10023.808082,10023.839137,10022.776342,16.401681,10022.826387,10022.776342
1825.5171435454,9.35437214225068,0.000121969808947372,2532849115.28053,7.42854581195761,0.187650028241404,7.2408957837162,10019.423474,21.791181,10019.472019,10019.423474,10016.580041,19.057725,10016.70467,10016.580041
1825.49704596347,9.32519216157625,0.000120549231944794,2532849188.56326,7.42856482438122,0.187533908645876,7.24103091573534,10021.789487,5.059968,10023.515201,10021.789487,10014.404686,5.197262,10014.391575,10014.404686
